participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0312,R_2CHPFiPVnvahWow,Nonsense,Codwaddle,,That's a load of codwaddle,Early days growing up,No
A0313,R_1DSB54hIiNRZFsZ,Nonsense,Tell them their dreaming,,,,
A0314,R_1Fya4J8TkzrSZO7,Nonsense,Raw prawn,,don't come the raw prawn with me,Pubs,
A0315,R_rfDrNmoTpJkTESl,Nonsense,Crock of shit,,All this anti-vax info is a crock of shit,"Throughout my life, anywhere and everywhere",Also abbreviated to 'a crock'
A0316,R_eUTyqqfGLod3Bux,Nonsense,crap,,thats crap,I muse it regularly,
A0317,R_Bsahyyjajiw1JWV,Nonsense,Crap,,Your talking crap!,Often and everywhere.,Crap mean faeces. Ie what is being said is waste and not to be kept as truth.
A0319,R_1dBa0PyaRPhGUB3,Nonsense,Jibberish /,,Speaks more jibberish than a flock of galahs,,
A0321,R_3qKjFVSoDxvedfV,Nonsense,A load of tripe,,,,
A0322,R_12Ggn76eT7M70NR,Nonsense,Crap,,,,
A0324,R_QmE01Y5exUClFwl,Nonsense,malarcky,,that enough of that malarcky,at an early age from grandparents sydney,
A0325,R_3mjxn15fQ7UELZv,Nonsense,Bullshit.,,,Everywhere all the time.,
A0326,R_doFhewflSJspmjD,Nonsense,"poppycock, load of gibberish",,That sounds like a load of gibberish to me,in conversation,no
A0327,R_3kBAmbiDoNcF5FQ,Nonsense,bullshit,,that's just bullshit,"widely, at many levels of society",
A4391,R_1nTvcCD6gypKn7E,Nonsense,Bullshit,,,,
A0330,R_2atU5EvsdLGY0Xf,Nonsense,Bullshit,,"He was talking absolute bullshit, just trying to get out of doing work.",?,
A0333,R_2zc0agLmcfPQNal,Nonsense,crock,,What a crock of shit.,daily life,
A0334,R_1n902ByP7NtUzFO,Nonsense,Bollocks,,She was talking a lot of bollocks.,At a social gathering.,Quite English I think
A0335,R_3fYIyp7KdWY02cQ,Nonsense,Bullshit,,,,
A0336,R_UanbLMysT3DW8KJ,Nonsense,rubbish,,that's a bunch of rubbish,,
A0337,R_24NTR1K3M3AHPaN,Nonsense,Bullshit/ crap,,,,
A0338,R_3PbluYDWswzFh6r,Nonsense,That's BS,,Cut the BS mate.,all the time,
A0339,R_sOnZgovDvdoo0kV,Nonsense,Crap,,That's crap,Mailed members of the family,
A0340,R_1LqvQWBYKPz8MTK,Nonsense,gobbledygook,,That's a load of gobbledygook,When someone is having trouble understanding something or speaking nonsense,
A0341,R_XgP26zsU11kiYE1,Nonsense,"crap, bullshit, got a lend of himself, pigs will fly,",,,,
A0342,R_1jeQMW3JejAsaDF,Nonsense,Rubbish (is that Oz slang?),,No,It's such an instant response,No
A0343,R_3KrTi7JlSJ8rVg8,Nonsense,Codswallop,,That is a while load of codswallop,Parents,
A0344,R_3KqktC0PkDc66V0,Nonsense,rubbish,,,,
A0345,R_2DMtu9YJEwEtebI,Nonsense,Bullshit,,Evan's bullshit radar is pretty spot on.,On cattle stations in the Pilbara,It means Evan can see when a stockman is talking nonsense
A0347,R_ZxbAkmaousrGWxH,Nonsense,Bul shit,,Hat a load of bull shit.,Conversation,
A0348,R_2Wv429pkOtutucN,Nonsense,Crap,,,,
A0349,R_2CfSBExks2C1S1h,Nonsense,Bullshit,,Shit Barnaby Joyce talks a lot of bullshit,Occasionally society wide,
A0350,R_125dNrIQyzmYgxM,Nonsense,a load of shit,,that's the biggest load of shit I've ever heard,,
A0351,R_2rjC4RecDTwI0pt,Nonsense,Load of bollocks,,,,
A0352,R_2P12HydKlx4I7YU,Nonsense,bullshit,,thats a load of bullshit,general conversation,
A0353,R_1pYyIJXs28yccMv,Nonsense,drivel,,Stop speaking drivel,when i was young,it means you are speaking rubbish
A0355,R_2bIrvPtfwYUv6NZ,Nonsense,Tripe,,That conspiracy theory is utter tripe.,All my life in Sydney but less so in last 20 or 30 years,
A0356,R_28BBme9E2stZ8il,Nonsense,Gobbledegook (?),,He talked a lot of gobbledegook.,After a conversation when someone was expounding their ideas.,My spelling may be a bit off...
A0357,R_1gckVYljITVFRVo,Nonsense,"""(That's) a load of rubbish""",,As above,Past and present,Nope
A0358,R_2c12TLFAIlGJRuA,Nonsense,bullshit,,He talks a lot of bullshit,Often,"Similar terms: shit, he's full of shit"
A0360,R_3fcx0jQQaSauhnq,Nonsense,Garbage,,That's garbage,Growing up 1960's,No
A0361,R_z75cXdD5czdQmQN,Nonsense,"Gibberish, bullshit, crap",,,,
A0363,R_1LIsmAZbYpSmBGJ,Nonsense,crap,,that's a load of crap,All the time,I think it might be from the US
A0364,R_yr46rPEuTBCcOHv,Nonsense,Rubbish,,,,
A0365,R_1pAqriXH6MtO17V,Nonsense,Gobbledigook,,The letter was gobbledigook,At work,
A0366,R_1114vyVLJVpTrwE,Nonsense,Bullshit,,Exclaimation or statement,Frequently as exclamation,
A0368,R_b1xmF5xpMvrDFfj,Nonsense,Drivel,,The new policy is drivel,,
A0369,R_VVWbwmZVfCsz6hj,Nonsense,Poppycock,,What a load of poppycock,Really only hear older 70+ people use it. My mother still uses this one,
