participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A1492,R_afqJdjerqMVhmNP,Very Bad,As useful as tits on a bull,,Four-wheel drive on a city car is as useful as tits on a bull,When someone's not good at their job/task or an object does not have a purpose or doesn't work for it's intended purpose.,
A1493,R_2qCuKyUBe0OpMYr,Very Bad,Shithouse,,"It's more of an exclamatory utterance, than a sentence usage word. ""Ah, shithouse!"" in response to something unpleasant being recounted to you. Or maybe to commiserate ""That's shithouse, mate""","I use it often, but not in meetings! Used to describe something, usually a situation.",
A1495,R_VVwafSkynFWHcOZ,Very Bad,fucked,,that's fucked (i.e. something messed up or very bad),everywhere,
A1496,R_ueazjwcceGwiXV7,Very Bad,crappy,,it was a crappy restaurant,general conversation,
A1497,R_2aODfCGecCCYCdc,Very Bad,shit house,,that tucker was shithouse,growing up/school,
A1498,R_R4EG4drXV8jAX2V,Very Bad,Cooked,,"Mate, that is so cooked",It is used in a comforting sense to empathise that a situation is hard to believe or not ideal.,Also can be used to describe a person who may be under the influence of a substance.
A1501,R_8bQMhJ5JIrhmBCF,Very Bad,ratshit,,ratshit idea,Over many years particularly in workplace,
A1502,R_3hhgy0CM2MUuhRd,Very Bad,ratshit,,"had an absolutely ratshit day today, nothing went right.",school,
A1503,R_6qZkUKbTB44EyDT,Very Bad,Pits,,,,
A1504,R_T1s94vLqI9GZPNL,Very Bad,Shithouse,,Your boss sacked you? Aw thats a bit shithouse isnt it,"Ive used it many times, friends have used it",Now only a bogan term i think
A1505,R_1rvtK3ogHOgklAW,Very Bad,shit,,That's a shit hat mate.,,
A1508,R_1n0VPikvcAgZLpj,Very Bad,down the gurgler,,It's gone down the gurgler (= Business has failed),"Qld, NT, WA",
A1509,R_2ZI8X7k4CCzcKL9,Very Bad,crappola,,"Well, that was crappola!",Casual conversation with friends,
A1510,R_C3otpyEDH4bysaR,Very Bad,pissed off,,I'm really pissed off,everywhere,
A1511,R_3z1WNu1ad36fySd,Very Bad,struth! or strewth!,,Strewth - I never expected that to happen. Whaddya gonna do?,General conversation,"I think it came from ""that's the truth""."
A1512,R_bwL7b6O5pA7Xdux,Very Bad,Rooted,,Thats rooted,Whenever something is broken,
A1513,R_eYbbsvWck28XKX7,Very Bad,Shocker,,That guy's a shocker,General conversation,
A1514,R_2QicAAj5yLqh9wz,Very Bad,grose,,That's grose,My grandchildren use it for something they consider is disgusting.,Not really sure how it is spelt.
A1516,R_3R3ewehrJrAtwBG,Very Bad,Cluster Fuck,,The vaccination program is a monumental Cluster Fuck,Recently daily,
A1517,R_3P4rAx7xpTL6mXm,Very Bad,Shithouse,,That feed was shithouse.,"All the time, everywhere.",
A1518,R_WxShS0PfRk4gKbf,Very Bad,munted,,He munted his hand with that angle grinder,At university during the early 2000's,"It can be used as both a verb ""He munted it"" or an adjective ""it is munted"". It also means to vomit."
A1519,R_1LnFIps5et7fWlY,Very Bad,Shithouse,,,,
A1520,R_1BP29w7LWEOOvu8,Very Bad,shit'ouse,,I'm feeling shit'ouse,I wouldnt say it at work but I would with my family,A shit house would have been a long drop dunny so I suppose it is pretty stinky and horrible.
A1521,R_1joVksa9iiyFhOK,Very Bad,shithouse,,"I went to the club on Friday to hear a new band play, but it was shithouse.","In everyday speech, though it seems to be getting supplanted by the less descriptive import ""shitty"".",no
A1522,R_bBkXElAnTTvcJ3j,Very Bad,Shithouse,,That meal was shithouse,"Present day, usually by blokes",My dad used it a lot
A1523,R_25yL6PJGU59U2fQ,Very Bad,Shithouse,,Feeling shithouse,Husband and brother in law,No
A1525,R_oYK220ZnvPhhJm1,Very Bad,up s##t creek,,may not be Australian,all the time,"can add ""without a paddle"""
A1526,R_2Sw2gtt9GojAF5r,Very Bad,shithouse,,"I caught a cold, feeling shithouse. That shed you bult is shithouse.",By self.,
A1528,R_R90Do39JQK8HIbL,Very Bad,Bugger,,"Damn, blast, bugger",,
A1529,R_85FmZp7LVugQ2VX,Very Bad,"shithouse,",,q. What do you think of my new hair. a.its shithouse,,
A1530,R_6ojWq04Bw4JfM9H,Very Bad,shithouse,,,,
A1531,R_2fwdrCcQLV1kqOv,Very Bad,shit house,,that's shithouse,,
A1532,R_1jJ1ldsws6zbHu6,Very Bad,Shocking,,That is shocking,Bad news,No
A1534,R_2txnTTwCkiaO00R,Very Bad,Dodgy.,,That is pretty dodgy.,I use it.,No.
A1536,R_2X1lcBCSDNEE0xv,Very Bad,Cluster fuck,,The meeting was a cluster fuck,Men discussing a disaster at work,
A1538,R_3lM6cPsOH5DVtsP,Very Bad,Shithouse,,Well that's bloody shithouse mate!,My husband - today!,
A1539,R_1GZXIWu5raLYkx2,Very Bad,shocker,,,,
A1541,R_1exbnQoMidWctHN,Very Bad,Crook,,The way he was treated was really crook,By brothers growing up and still by many friends mostly male,Often prefixed with bloody for emphasis
A1542,R_2sSV2rtjvymL0yY,Very Bad,cranky,,The boss was cranky yesterday,In reference to someone being in a bad mood,while don't hear it as often is one I still hear people use
A1543,R_1dnlJ0ZhfB1MyKO,Very Bad,Shithouse,,,,
A1545,R_CmJbRyjsHaTTR9T,Very Bad,on the nose,,Geez that guys is a bit on the nose,My parents and their friends when growing up,
A1548,R_6mPQb8J6n5OfwOd,Very Bad,barry crocker,,"well, that's a barry crocker","recently, between friends",
