participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0823,R_rd44wRI3LTrIOZP,Very Bad,Gross,,That food was gross.,"At times when confronted with something disgusting e.g. bait, Brussel Sprouts (don't tell my husband)",
A0824,R_29t8kZN1gA6t1gd,Very Bad,Naffed,,"Looks like your car is naffed, mate!","Not sure. At work I think, in the tech industry.",Not sure how wide spread its use is.
A0825,R_w7ZZX7qW2w3ilcl,Very Bad,Munted,,I hit a roo and now my car is munted,My adult kids,
A0826,R_xrQrVfw13xwJSIV,Very Bad,god awful,,we've had a god awful year,mainly from less educated people,
A0827,R_3R3LV6ZeC1eAw1f,Very Bad,Bummer,,That's a bummer,Locally,No
A0828,R_24xddHstSwnkn0s,Very Bad,crappy,,The food here is crappy,everywhere,
A0831,R_3PnSalbyi460REp,Very Bad,Ratshit,,The new Covid rues are RATSHIT.,Here and now.,
A0832,R_6DaObGkRzUHzd9T,Very Bad,Scungy,,the kitchen is scungy,,
A0834,R_1nUQQcG139ntTgt,Very Bad,shite,,This pandemic is pretty shite,I use it,Nope
A0836,R_bOXc8F09q3s30lj,Very Bad,Shit hits the fan / up shit creek /is shit creekwithout a paddle,,,,
A0837,R_3Rs8KvsxQLQ8ZPw,Very Bad,bingle,,had a bingle last night,specifically for a vehicle accident,heard it from chidhood to present
A0838,R_2qBIFpBWreMCBQ9,Very Bad,Shithouse,,The team's performance was shithouse,All the time!,Can be widely used
A0840,R_3iIFzhItc5HRczN,Very Bad,Shithouse,,I had a shithouse day the coppers lumbered me for speeding,Many times when younger,It's a milder version of the C word substitute the C word in the above sentence
A0841,R_AjPcHPQKipkTqxz,Very Bad,shithouse,,He's a shithouse prime minister,Quite frequently among blokes,"Not polite, obviously"
A0845,R_DA9iZuwFtCI5Wkp,Very Bad,devo,,"I have to cancel my ski trip because of Covid and my mate is there, I'm devo.",Rarely hear it now. Last time was example above last month from male co-worker in mid 40's who has lived in remote areas.,Generally I don't think Australians are devo very often.
A0846,R_1hSC2jXTZ2TiY0g,Very Bad,shithouse,,"That was a shithouse show, meal, meeting...",In conversation.,
A0847,R_2DMJumKJkzqumsu,Very Bad,gross,,,,
A0849,R_1Hk8uY9OsxmjEpj,Very Bad,up the shit,,,again at work,
A0851,R_2TMe2mGyn4EgfZe,Very Bad,Rooted,,The car was rooted after the crash,,
A0852,R_1pKCL6JRA455jng,Very Bad,crook,,"eg the ute is severely stuck in the mud. Geez mate, that's crook!",early years around bogans,
A0853,R_T1HVdnW84Rzndux,Very Bad,Shocka (or shocker),,The Bulldogs played a shocka against the Bombers last week.,I still use it reasonably frequently.,No
A0854,R_27W5hIjukJHi4fm,Very Bad,shithouse,,The umpiring was absolutely shithouse,At football matches in the 1950s,no
A0855,R_wS6gNRs1KSHA4vf,Very Bad,crook,,I ate a crook prawn,amongst older family members,
A0856,R_2faMiGi0SmKEU0N,Very Bad,Shithouse,,That tastes shithouse,Everyday conversation,The word seems self explanatory to me
A0857,R_3Jd7swDUA0pGPL3,Very Bad,like prawns in the sun,,"The function was not the best, like prawns in the sun.","Family, worker friends of family members.",
A0858,R_1jPsFTn3dibd0kj,Very Bad,thats looks shitful,,something that looks terrible,,
A0859,R_3Rb800lV4NyRyp3,Very Bad,Crook,,I woke up this morning and felt really crook.,Lots in general conversation generally about how people think.,Sometimes 'crook' is used with 'As crook as Jubrook'...
A0861,R_1pxMNLCD2knEA7A,Very Bad,gross,,That's gross!,In reference to a bad fart smell.,When someone drops a bomb - bad fart smell
A0862,R_RfU1tgL2zpSAV6V,Very Bad,not much chop,,That car wasn't 'much chop' = not very good,"Father checking out things to purchase, especially second hand goods",
A0863,R_3LdqW8zJZGJVB8z,Very Bad,Cactus,,She's cactus (referring to an item that fully or nearly destroyed),Can't remember,
A0864,R_32X5rFxGhOCZlUS,Very Bad,Shocker,,That game was an absolute shocker,"Conversations, on TV",No
A0865,R_3iLtEC7D5aWFddm,Very Bad,something's crook in Tullarook,,It was used when something was considered to be not right or fishy.,mostly in the 1960's and 1970's. Haven't heard it for quite a while.,
A0867,R_33C3bn0c9Yz9QKf,Very Bad,Shitty / crappy,,Thats a shitty / crappy looking banana.,,
A0869,R_1IQT9P8vIeHnfxZ,Very Bad,Fucked,,That's fucked mate.,Everywhere,It's very useful.
A0871,R_2EyjgjP5RK0N89m,Very Bad,Fezza or feral,,That rubbish bin smells fezza.,Have heard it used recently to describe someones odour and the look of their dirty appearance.,
A0872,R_1eyJaFaw8RVAZ0V,Very Bad,Rank,,"That seafood has been left out too long, it's rank.",When talking about bad food,no
A0873,R_r1tDyq344jeZ5br,Very Bad,Shithouse,,That was shithouse,,
A0874,R_1llPekpGYAfJ9o1,Very Bad,Crap or shithouse,,This program on telly is crap or shithouse,Listening to a polling on the telly,
A0875,R_1pQAPLVy0sls9EF,Very Bad,"Crappy, shithouse, sucks",,"What a crappy week this has been. Being in lockdown is just shithouse, it sucks.",every where,"Other swear words come to mind, but they are probably not just Australian. Like fucked up."
A0877,R_3phZKcolPIrChW2,Very Bad,Cunt,,"Mate, you're a real cunt","Again, one of those interchangeable words that can have a good or bad meaning depending on the context",It's becoming more prevalent in everyday conversation
A0878,R_3O9e5sRQDQUn4kl,Very Bad,lousy,,The current rate of the dole is really lousy,family,could also use stingy
A0879,R_BFDLy5cD6A49zuF,Very Bad,Lousy,,He did a really lousy job.,All my life. Everywhere.,It is pretty straightforward and conveys contempt.
A0881,R_3szyY4Zdme07aV7,Very Bad,I'ts the pits,,,Not for a long time,
A0882,R_oY3KrP9QvSnAo37,Very Bad,Dodgy,,That car is right dodgy,"Talking about anything that isn't as good as it seems, including bad influence people, broken parts or places with high crime rates",
A0885,R_1CpQmaLO0D9OWlx,Very Bad,Shithouse,,"That was shithouse, mate",Regularly,It is very satisfying to use
A0886,R_3dFW8LEoRGzJCoM,Very Bad,Shocker,,"Oh, what a shocker.",I'd use it to describe a bad experience or something particularly unaesthetic.,
A0887,R_3Dc35odKwboKH0S,Very Bad,Shithouse.,,That paint job's shithouse mate.,Common in everyday language in workplaces.,
A0888,R_1mfO7XcTJgATtXw,Very Bad,on the nose,,Blimey dog! That's on the nose!,Use it myself!,
A0889,R_4HCu6Fs7PC3BI9b,Very Bad,extra crook,,that tucker was extra crook,as child,
A0890,R_Xn3rB0DqaCUpbQR,Very Bad,Up shit creek (without a paddle),,They're up shit creek,Recently usually around describing politics,Still used - hear slang more about politics
A0892,R_2ylu6O587MMoaBx,Very Bad,He/She is a nutcase.,,as above,I'd say about two years while yakking with a (now departed mate of about 80 years).,If the suit fits wear it.
A0893,R_1jdLE2ysYFh5JcK,Very Bad,The pits,,This COVID is the pits,Work / home / growing up,
A0894,R_2dou79C8Owe1dDo,Very Bad,Clapped out,,,,
A0896,R_23errHX6VmAkwRs,Very Bad,shithouse,,,,
A0897,R_2UgQ1vX7ffhHmxQ,Very Bad,Cactus,,The old car is cactus,Everywhere,
A0899,R_RmhH5IpOri0Yerf,Very Bad,crook,,i feel crook,Friends and on TV last 10 years.,More common in older generarion.
A0902,R_3im0F2XVO3HEo29,Very Bad,shithouse,,The weather was absolutely shithouse yesterday,,
A0903,R_ONJva4oQ4ny5OLL,Very Bad,shithouse,,that meal was shithouse - meaning it was awful,in so many instances it's hard to limit to one,it's an excellent expression - although not in 'polite society'
A0904,R_3e93Pq7ub0gknpo,Very Bad,Crap,,She played a crap game of footy,At social gatherings,
A0905,R_2TAljQ3KVF8u3L8,Very Bad,bummer,,what a bummer,,
A0906,R_1M5jeeiStnZKEt3,Very Bad,shiza,,my day was shiza,in schools,
A0907,R_cuW3TM3VvsaFxbH,Very Bad,Shithouse,,That's fucken shithouse,All of the time and everywhere,
A0908,R_2rHOkM7iy0FHheG,Very Bad,Crap,,That car is crap,,
A0909,R_10ARNA5I6i2ddKp,Very Bad,pits,,today was the pits,"typically in an outdoor context, when weather conditions are poor for activities",
A0911,R_3fP13pQ2aNfy0Ql,Very Bad,shit crap,,,,
A0913,R_1mCbkZAw6bczxkA,Very Bad,Off like a bag of prawns in the sun.,,,,
A0914,R_daH8mWgH8u3TVdL,Very Bad,ratshit,,what a ratshit show,with friends,locally used
A0917,R_2wiQWG9C7cBMQL6,Very Bad,As dead as a dingo's donger,,"Said as above, in relation to something not working",70s-90s may have said this ironically myself,Would only say it in the right company and ironically
A0918,R_cJ7Mo8x24AIlHxL,Very Bad,shithouse,,That singing was shithouse,"home, work, school",
A0919,R_1Fln032BOAsJAcx,Very Bad,shithouse,,that was a shithouse meal,still current,don't ever recall its use by a female
A0920,R_2P5vGuWjVDPVDv3,Very Bad,shitty,,that was really shitty,lots,-
A0922,R_1CmymVZETU97vXD,Very Bad,That's a bugger,,Oh you didn't catch any fish - that's a bugger.,I use it 😏,No
A0925,R_2txmcXjNKei16TX,Very Bad,shithouse,,He's in the shithouse for being pissed at work!,many places for years.,"It beats, ""gross""."
A0926,R_3ozw4m2iwhC2jI2,Very Bad,ratshit,,"I've had a ratshit year, with Covid and everything.","Again, just ordinary usage - I've used it mayself.",Self - explanatory
A0928,R_8H2fsAytDt8Qkrn,Very Bad,stuffed up,,everthing is stuffed up,often,used by real working class people
A0929,R_11hFaC1jCjrhGrR,Very Bad,up shit creek,,were up shit creek here,growing up 60s to80s,
A0930,R_DeGOL7mFhXxVaDL,Very Bad,Catabloodystrophic.,,Scotty from marketing is doing a bloody catabloodystrophic job of dealing with covid.,"Older generations, occasionally my friends.",No.
A0932,R_3iPV6drCRMvEpRl,Very Bad,Shocka,,What a shocka of a movie,recently at home,"can refer to a bad headache, badly played sport or anything else that was very bad"
A0933,R_2cjxhujePO9LtvJ,Very Bad,Fark,,"Fark, that's dreadful","Community, TV,",I deliberately spell it like this
A0934,R_qQnrGTwjrFtRdcd,Very Bad,Shithouse,,"Watched that movie, hey! Thought it was pretty shithouse actually!",Everywhere,
A0935,R_333HPR7VDtTVSHF,Very Bad,A mongrel dog,,He was a real mongrel dog,"In high school in Sydney, 1967",Sometimes used to describe the weather too
A0936,R_1ff55x6Bq6Qu7v1,Very Bad,prick,,He's a right prick!,Describing someone the user dislikes,
A0938,R_2Cs6LHvo0uCd5oa,Very Bad,Buggered.,,The car's buggered.,Breakdown.,
A0939,R_3qPykS80rqdTKUK,Very Bad,Shithouse,,This is a shithouse example of slang.,"All my life, not quite polite use.",
A0940,R_8kx7PF1tQmEKGch,Very Bad,Cactus,,"""Your carbie's cactus""",My bogan family,
A0941,R_3isAR0G4V5VXMnW,Very Bad,it sucks,,Going into lockdown sucks!,When someone is unhappy about something that's happened that is bad for them,
A0942,R_8tZ5Eg3gh0oiB6V,Very Bad,shithouse,,Shithouse day today,All over,I've heard it abbreviated to 'shouse'
A0943,R_OBaXRe0n0lRzYTn,Very Bad,the pits,,"Mate, the movie was the pits","Work, home, friends, TV",
A0944,R_2TATdWcyg2QqA4s,Very Bad,That sucks.,,It sucks that it rained every day on my holiday/,"Everywhere! Face-to-face, social and mainstream media.",
A0945,R_1puEQeiW1BFZujf,Very Bad,stinker,,"its a stinker of a day (eg windy, wet, cold etc)",general conversation...not frequently currently,
A0946,R_2QyacqZ7jR38goY,Very Bad,Betty Crocker,,Old mate had a real Betty Crocker of a game the other day.,"All over the place, but once again when I was a yound child.",Betty Crocker = Shocker!
A0947,R_3qVZWd1R9ManqrF,Very Bad,Shithouse,,I'm hungover and feel shithouse.,In conversation.,It's expressive
A0948,R_sNFYjyqP0ZnAEDL,Very Bad,Up shit creek,,Up shit creek with mother-in-law for swearing,Husband,
A0949,R_RhrBUvLOc0Ey18d,Very Bad,Shithouse,,Shithouse news; the footy's been cancelled,"All the time, very common.","Describes bad events, bad food, bad service, bad music etc etc"
A0950,R_07IMvVMQ5HsofCx,Very Bad,Shithouse,,That book was shithouse,,
A0952,R_2YLj5F4ugkvytUd,Very Bad,suck,,"Not being able to go overseas, sucks",General conversation,
A0953,R_T6nO6UAPJdwwVa1,Very Bad,rank,,that dead possum is rank,casual conversation,
A0954,R_sHhEqFWM9W27iSJ,Very Bad,shit show,,The vaccine rollout in Australia is a shit show,"Everywhere, but most recently by the federal Shadow Minister for Govt Services.",Sometimes it's hyphenated and sometimes it's not.
A0955,R_11hJTMtPzOht1ia,Very Bad,Crap,,That's really crap,,
A0957,R_2zZtV2REKNt3ZJs,Very Bad,Shit house,,That concert was shit house,To describe something that wasn't good,
A0958,R_Ut2Q0zACziXgoXn,Very Bad,shithouse,,prime minister morrison is shithouse at his job,all over,no
A0959,R_3fDDtV3fL9gDGZa,Very Bad,Down the gurgler,,If your chances of success have disappeared they've gone down the gurgler,I barrack for Melbourne Football Club - Almost annually!!!,Nup
A0960,R_6Fk1h3POS7DiFKF,Very Bad,shithouse,,that's shithouse mate,"friends, tv",
A0961,R_PGql7HdmBxgsZGh,Very Bad,Shocker,,A shocker of a day,Family,
A0963,R_1Kpggwd2waEW3ND,Very Bad,a 'dud',,That new bloke turned out to be a real dud,,
A0965,R_3R4bitiDijCEqDO,Very Bad,Shithouse,,That was a shithouse game of football,1988 when I first came to Australia,
A0969,R_3mjHFhuNupa75vf,Very Bad,shithouse,,It wasn't great to start with but it's now just shithouse.,Among friends. At work [informally].,
A0970,R_0CFMNc1Wihewisx,Very Bad,crook; come a gutser...,,It's crook that scum does not give a damn about climate change. He's gonna come a gutser at the next election.,in conversation,
A0971,R_1jkp2IX8kLiDPN1,Very Bad,Stuffed,,This government is stuffed,,
A0973,R_2cC7XAT09WpQSbV,Very Bad,Shithouse,,The current govt is shithouse on climate change,At home,
A0974,R_24kfs1o3nG8jXYB,Very Bad,Bugger,,What a bugger,Often,"My husband and i use it for ""tame"" badness- REAL badness gets ""shit"""
A0975,R_2sYnGS76Ud16TB4,Very Bad,shithouse,,Two hours waiting for a rona test?! That's shithouse mate.,Sydney and Canberra region generally,
A0976,R_1Nnb7mgoMFpd5iG,Very Bad,Pretty ordinary; pretty average.,,That haircut is pretty ordinary. That paintjob is pretty average.,At work. Pub. BBQ.,It is typical Aussie irony/sarcasm - understatement.
A0977,R_1jeIZpXOWk4UpgV,Very Bad,Chat,,Ew that birdpoo on my car is chat,"North shore Sydney, used in the late 00s",Word is that it was taken from the suburb 'chatswood'. Some people wondered if it was racist because chatswood has a large Asian population
A0978,R_3dKYP1FPIV7o1gq,Very Bad,SHITTY,,I WOULD NOT GO TO THAT SHITTY PLACE.,OFTEN ABOUT MALE COMPANY,"MEANS UNPLEASANT, NOT POOING"
A0979,R_3NxomimrqFKITka,Very Bad,dingy,,That food was dingy I think we were ripped off.,probably from my Parents,Dingy also used to describe cheap Japanese goods and now Chinese goods
A0980,R_2tbVvOySTwQYjlN,Very Bad,"shiite, godawful, fubar",,,,
A0981,R_1gv9hhWVY1Z4bGh,Very Bad,cactus,,That car's cactus,,
A0983,R_3QF3EPrxxpMn1rb,Very Bad,shit,,,,
A0984,R_3Ep3nC21oPtrHin,Very Bad,"""Shit Hot"" (99% Shit-1%Hot)",,Your cars shit hot mate!,In the pub.,
A0985,R_3PmCC3VKpqSKNXV,Very Bad,Crap,,That's crap or crappy.,I use it,Crap meaning shit
A0986,R_el1w3JXWU8ut2yR,Very Bad,It's the pits,,Some failed a topic at uni.,At the pub when someone I know lol OST their job. They said it was the pits.,No
A0987,R_R8GNvTixEAmLzgt,Very Bad,"the job's fucked, mate",,"What's wrong with the car? The job's fucked, mate.","Common in north Queensland, current.",
A0988,R_1hL5utTUCm6GuCT,Very Bad,Bugger,,That's a bugger of a problem,Everyday life,No
A0989,R_25ZyBRdJJV4duhg,Very Bad,That's fucked,,Stealing cars from old ladies; that's fucked,In common usage for many years,
A0990,R_1Q4a3Hsab2bV2wV,Very Bad,botched up,,The whole event was botch up,Used during teenage years in the 1960's,'rooted'
