participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0001,R_3MarUAEXgFBBuGf,Very Good,shit hot,,My performance was shit hot.,Lots,no
A0002,R_3pmQPCnOfdyR2No,Very Good,Bonza,,He is a Bonza person,I use it myself,
A0003,R_3qVjXWdknzHy4j5,Very Good,a bottler,,His kick was a bottler,growing up in South Australia,
A0004,R_3rGNrQUp49FGe48,Very Good,Bonza,,This beer is bonza,Country towns,
A0005,R_1mK8kLtcwTvho8W,Very Good,Ripper,,What a little ripper (referring to a good child),On Australian tv shows,Often used with 'bloody' before it (bloody ripper)
A0006,R_reDfFUbAmVVOPlL,Very Good,Bonza,,Thats bonza,Tv,
A0007,R_Tba7dCWNOzl4lhL,Very Good,bonza,,"I feel like I can imagine it as a predicative adjective or an exclamation. I'm struggling to imagine it as an attributive adjective, but I'm sure it's possible.","Mostly metalinguistic commentary. 'Everyone' knows it's a dated Aussie, ocker slang term. I feel like I may have heard it from self-consciously ocker left wing, baby boomer Australian men, e.g. Phillip Adams.",
A0008,R_3QJeHhx8WNfrL3Q,Very Good,The ducks nuts,,That beer is the ducks nuts,Friends,
A0009,R_xgDzRk6IMsmtDR7,Very Good,Gold,,That's gold,Response to something eg. comment,It's gold!
A0010,R_9LxrzF7tyLH6LcJ,Very Good,Bonza,,It's bonza mate!,,
A0011,R_1r8Ouc1dRUJUdBw,Very Good,awesome,,That's awesome,Commonly by people around ne,Some people do not like this expression and say it's American
A0013,R_2y8gILYzDBaSe2N,Very Good,Bonza,,That's a bonza idea,A few years ago now,
A0014,R_10CvZlGtuabviV0,Very Good,Bonza,,That's bonza mate,In my childhood,
A0015,R_1QuRC1uLCQOGXFW,Very Good,Cracker,,That's an absolute cracker,Use it myself,
A0017,R_2ZP7Z2ueSBIB0s3,Very Good,Bloody ripper,,That's bloody ripper,It's currently on a PBS radio ad in Melbourne,
A0018,R_u9z1WkNe4ST7Y4h,Very Good,Bonza,,That ute is bonza,,
A0019,R_8og7p5iKmdGyQ4V,Very Good,Awesome,,That's awesome,Anytime something good happens,
A0020,R_voaa3RzI5INwKc1,Very Good,beaut,,"Mate, that car is a real beaut",Mainly by older whiter speakers,"Seems a bit old fashioned, I would rarely use this"
A0021,R_3flfqGE6xkqxbHb,Very Good,Grouse,,That's grouse!,,
A0023,R_2uNDhPU4aaTeS7m,Very Good,"Beaut, top notch",,,,
A0024,R_4GUQVowv5UL5Stb,Very Good,"Grouse, ace, excellent, cool, rad, sweet, awesome, bonza",,"That grouse for dinner was bonza, the flying ace was quite the radical during his younger days","Grouse, ace, and rad in the 80s. Bonza is mostly ironic. The others pretty much consistently since 2000","Why on earth would you only put space for one word, I know like six"
A0025,R_2wTWyL62pvTif9d,Very Good,Bloody brilliant,,That meal was bloody brilliant,"With friends, more likely after drinking",Feels a bit bogan
A0027,R_10P1gUJz70MK2HP,Very Good,Bonza,,It's a bonza day,Growing up - my dad,
A0028,R_3DjUZGcGGEmbVrs,Very Good,Sick,,That's sick mate,,
A0029,R_2WvYbsSiVeItsA5,Very Good,Ripper,,That's a ripper jacket,My old boss,
A0030,R_1hWQ37DYhqL7Nbl,Very Good,Bonza,,She was bonza tonighy,,No
A0031,R_3s4xEqgp6fc9VmW,Very Good,You beauty,,"The Socceroos win a penalty and you shout ""You beauty""!",Lots of situations where something not quite expected to turns out well,
A0032,R_2bJZCteOdKLHfqv,Very Good,Awesome,,'Really? That's awesome' (on getting good news for example),"Workplace, friends, customers","I guess it's a bit American but I think people in my generation don't use as much 'typical' Aussie slang (eg bonzer, grouse) and use more common words like this. I also use 'rad' sometimes but I think I'm an outlier amongst my friends for that!"
A0033,R_2CTzqcrC7w1fQrC,Very Good,Bonza,,"""that movie you want to see is coming out this weekend"" response: ""bonza""","My mum used it humorously when I was growing up, I use it now",
A0034,R_24pXXdrFmVGlWSl,Very Good,bonza,,You did a bonza job,Not sure,
A0035,R_2VPAgu108j33uuh,Very Good,Bonza,,"When something goes well or someone agrees to something or says something that is a good response, the response might include 'Bonza, mate!' which means 'That's great!'","Over my whole life, though I think only men - and older men at that.","I probably haven't heard it now for quite a while, now that I think of it"
A0036,R_3hgYG7yl4AJ61SE,Very Good,heaps good,,The Jobseeker initiative has been heaps good for those who need it,,might be quite south Australian?
A0037,R_1igFsZGdFjHsDmr,Very Good,You beauty,,When someone achieves something or provides an unexpected service or gift.,At sporting events or in pubs.,"It must be 'You beauty', not just beauty."
A0038,R_2OMYGoJv8pghrl2,Very Good,beaut/beauty,,she's a beauty,,
A0039,R_WfB9hSVjmG63o4h,Very Good,"grouse, sick",,That's a sick t-shirt. That's a grouse album.,"Casual conversations with friends, comments from strangers",
A0040,R_8c3DDrGAKq9etYl,Very Good,Little Ripper,,That kid is a little Ripper.,Describing a person or thing when I was a kid growing up in Gippsland,"Don't hear it as much now, especially in urban areas."
A0041,R_1mJgbFqfJniDqBK,Very Good,You bloody ripper,,If something goes your way,From an older Australian,
A0042,R_1f77cfqvlhzneDm,Very Good,Rippa,,Bloody rippa,When your surfing and some ones good there a rippa,Nah
A0043,R_3ek8dBDFofKiA7h,Very Good,Ripper,,That's a ripper of a car.,My friends and my teenage son.,It feels very 70s.
A0044,R_3OravT8TDi4Sjjo,Very Good,Heaps good,,"That show I saw was heaps good, they rocked.","Casual conversation, on and off since high school.",I have not heard this expression outside of South Australia until recently when it appeared on an ABC add.
A0045,R_2rUekGFxxsJiEY7,Very Good,Bonza,,She was a bonza sheila,Last week at the pub,It's bonza
A0046,R_qUg2MWMp8glTeO5,Very Good,Winner,,This pie's a winner,Casual among 40-60 year olds,
A0047,R_0P4IPF5EGuHhrWh,Very Good,Bonza,,"We had a bonzaa time, mate",Rural nsw,No
A0048,R_10Co56EWOPzm4Mt,Very Good,Bonza,,You've done a bonza job,My Dad!,Dad used it often. I've never used it!
A0050,R_3gTLM7w13DP6eAB,Very Good,Grouse,,That's grouse,Can't remember,No
A0051,R_3qOul3It4o3Cdo1,Very Good,Grouse,,"""Checked out my mate's new car, it's grouse""",Mainly at home or overheard from other folks,
A0052,R_TbmJAxhcciFUqD7,Very Good,"Bonza, ripper",,It's a bonza day. What a ripper of a day.,On TV,
A0053,R_2c5yJatT46jgN8E,Very Good,Bonza,,Bonza meal mate,Just out and about,
A0054,R_Rm2NyJ97RLkP9MB,Very Good,Ripper,,That's a ripper shot,TV or sports commentary I think,I don't think a lot of people use it tho tbh
A0057,R_2pKzYiclf2Hbvmr,Very Good,not bad,,This Steve Irwin bloke is not bad,Most conversations,
A0058,R_1FeQLxYd7FQLhrq,Very Good,Bonza,,We had a Bonza time at the BBQ,I've heard it over the years growing up,I don't think people from other countries would recognise this word or what it means. It's a very Aussie expression
A0059,R_33dp0lcL51Lp0v2,Very Good,heaps good,,My dinner was heaps good,A long time ago; at home,
A0060,R_bwjYnyHjb3YCSd3,Very Good,Ripper,,Ripper mate!,Country Australia,
A0061,R_0Pd0XZ4dnosenex,Very Good,Bloody brilliant,,"""That was a bloody brilliant game of footy""","My neighbourhood in rural Victoria, footy contexts",The word 'bloody' can often be thought of as a swear word in other English-speaking regions but in Australian English it is usually not seen as such. Therefore it may be used in radio or TV without any censorship
A0062,R_1HoV4KTqkii7Wyc,Very Good,bonzer,,He had a bonzer birthday party.,"In conversation, but not for many years.",
A0063,R_2491T28fW5IOQlf,Very Good,Awesome,,That's an awesome idea,Everywhere,
A0064,R_24dw0X2U9mMJgOq,Very Good,ripper. bonza,,Look at me new car. She's a ripper aye,colloquially,"I think it's a bit old, probably 1980s most popular usage."
A0065,R_6EUJluMBOpaQwgN,Very Good,Bonza or bonzer,,How are you feeling today? Bonzer mate!,"When i was a child, usually by farmers or country folk",
A0066,R_uy6L0W7tpouMzQJ,Very Good,ripper,,That's an absolute ripper catch!,"Not very much in real life, mostly in media (stereotypically Australian songs, sports commentary etc)","It sounds dated and stereotypical, although I recognise this as being an Australian word, I wouldn't use it myself"
A0068,R_1g8dIJJ8i2hDgxn,Very Good,bonza,,Having a bonza time,Probably not for 25+ years!!!,"I don't use it, it was just the first word that came to mind for that meaning!"
A0069,R_svUjzfGGrfSLKRr,Very Good,Bonzer,,What a bonzer of a day mate,Grandparents,
A0070,R_XvlWwDrRnhLBJfP,Very Good,Shit hot,,That's farken shit hot.,Basically all the time,It's grouse.
A0071,R_32XcZs2W9ieDJa0,Very Good,bloody brilliant,,geez this coffee is bloody brilliant,"quite commonly at work, social occasions","Its exuberant, effusive in its praise."
A0072,R_0SxfCfjWIo7F5Sx,Very Good,grouse,,"We went on the waterslide, it was so grouse, extra grouse!",I used to say and hear it all the time in the 80s and 90s.,"I don't hear it often these days, but always means something is very good in a low key but highly appreciated way."
A4388,R_3potJH8edZezLCB,Very Good,Tops,,That's tops,Daily in many ways,
A0073,R_1jxie8IO9rqbtXj,Very Good,Unreal,,You got 100% on the test? That's unreal!,"Younger people, school",
A0074,R_3qmR2JnZXnd8huu,Very Good,Ripper,,Hope you have a ripper of a birthday!,"When people are being casual, maybe a little blokey, or trying to subtly signal their Australianness",
A0075,R_1OviB8toSsuE95N,Very Good,a beauty ('bewdy'),,"Pointing to a new car: ""She's a little beauty""",Mostly older males in casual situations,
A0076,R_3EXSgDyn0nK7DoZ,Very Good,Cracker,,She's a cracker,Sports,
A0077,R_2xPfjOiYJr6yHMy,Very Good,Ripper,,What a ripper!,Family and friends.,It's beaut.
A0078,R_31TpKHyzxG0mIN6,Very Good,Bonza,,That was a bonza cup of tea,Home town and parents/ grandparents,Could be interchanged with ripper or beaudy
A0080,R_24Adb2m5tpPSdgE,Very Good,Beauty,,You beauty!,Usually used by men,I don't think I've heard it much from women
A0081,R_3EWLILWUlwVtSFX,Very Good,Bonzer.,,That was a bonzer party.,After a party.,Means good or great.
A0082,R_3ncJ0M3HmIVj2Jn,Very Good,bonzer,,That concert on Friday night was absolutely bonzer!,Mostly rural Victoria.,
A0083,R_3kolxNKWyx4USnD,Very Good,fair dinkum,,People have used this instead of saying That is great or That is fantastic,See answer to previous question,I do not use it within my community
A0084,R_sAtOmQjKEjrPfz3,Very Good,grouse,,That pizza was grouse,Not since the 80s!,
A0085,R_VJuFcSCbUtMHtD3,Very Good,grouse,,The party on Saturday was really grouse; Milena's dad barbequed some goat and everybody had a good time.,"I've heard this used since I was in secondary school, used among friends when describing something pleasant.","I don't hear my daughter, in her 30's, use it at all, but she knows the meaning."
A0086,R_e8oBpj0hLMVcTWp,Very Good,beaut,,She's beaut mate,,
A0087,R_10phZFVkMGOweNR,Very Good,Fully sick,,Your skate boarding is fully sick,At the skate park,It goes with baby vomit and is American
A0089,R_3Od127Gqv6fyWbA,Very Good,She'll be right mate,,"Mfriend says to me ""my car has broken down and I need to get to work"" my response would be ""she'll be right mate""",Between my friends and myself,
A0090,R_2YSvMGJuN4kBi96,Very Good,Rippa,,That ones a rippa,My dad,
