participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0393,R_322wlVrBx74A4cT,Arrogant,pompous git,,the pollie was a truely pompous git,,
A0394,R_R3jYoKooRycal2N,Arrogant,Up himself,,,,
A0396,R_1C3edwbsDFDFUZI,Arrogant,Got a rod up their arse,,Scott Morrison trots around like he has a rod up his arse,"Also quite recently, 30-40 agegroup typically",
A0397,R_1eKrlUS1BgtUIDQ,Arrogant,Cocky,,He was so cocky he thought everyone would love his presentation,About clients who think their projects are top-shit when they are very average,Might be related to or derived from US cocksure
A0398,R_2t4Nwbv4U5EdYvQ,Arrogant,He/she is up themselves,,He/she is up themself,From when I was young,
A0400,R_25SJjKYakAtCJ8F,Arrogant,He thinks the sun shines out of his arsehole.,,,,
A0401,R_262u0RqwdZQhB09,Arrogant,Nose up his arse or arsehole.,,Scotty is an arsehole and mostly has his nose up his arsehole.,Often.,
A0403,R_ZdFaYEZjqFMW7Gp,Arrogant,cocky,,See that bloke over there- he is so cocky,RECENTLY with friends,
A0405,R_1P8iEgwaCwB8i6R,Arrogant,cocky,,that cocky f***,overheard,
A0406,R_3fDcUBxKCrb6gtE,Arrogant,Up himself,,He is so up himself he is inside out.,Workplace,No
A0407,R_2SdammUdSbjnDNx,Arrogant,he has a chip on his shoulder,,as above,,describing someone who is arrogant or has a high opinion of themselves
A0408,R_3iKGxvWskwqSMiP,Arrogant,Up himself,,He's so far up himself,Not sure,"Can be confused with ""conceited """
A0409,R_vkROl2FIk3h0rCx,Arrogant,Up themselves,,He's up himself,All my life,
A0410,R_1gHDLwRSNhD7tJ9,Arrogant,up himself,,,,
A0411,R_1mxd4LyLrdZOM7v,Arrogant,"Arsehole, up themselves",,That areshole is really up themself.,Occasionally around the joint.,See Canberra
A0412,R_2oAJ2H6JTsoZuYp,Arrogant,So far up his own arse he could brush his teeth!,,Trump is up his own arse!!,Since growing up.,"Love it, one of my favourites!"
A0414,R_ymXuvOkULhslavf,Arrogant,Stuck up,,"He's so full of himself … just so stuck up, he would never take a tram if he could access a Rolls Royce.",Everyday conversation with friends,
A0415,R_UQJulvE3zQBf2wh,Arrogant,they have their head jammed up their arse,,Anyone who thinks they are superior to others. they are full of themselves.,,
A0417,R_AcdHzaC8Yl3EE6d,Arrogant,up himself,,Morrison's so up himself and full of bullshit I don't listen to him,Common use,
A0418,R_3DwqGDJvyolxfQ2,Arrogant,cocky bastard,,the real estate agent is a cocky bastard,relatively common,
A0420,R_esNJZxY6rMtL9Kh,Arrogant,smart arse,,he's a smart arse,all my life,
A0421,R_24dbpSKXvb28pX3,Arrogant,tickets on himself,,someone has tickets on himself,,
A0423,R_1rpELc9gZmMC268,Arrogant,"""On himself""",,"He's so full of himself, got tickets on himself",,
A0424,R_3Q7eng9ayNg5BDP,Arrogant,Up himself,,Stuart think the sun shines out of his arse. He's so up himself.,It was used all the time when I was at school in the 80s. Still used colloquially by my generation.,No
A0426,R_1M6EtRM9hD7khpZ,Arrogant,prick,,John is a prick,,
A0427,R_efgCbig6aQXETWp,Arrogant,up himself,,he thinks he's so great - he is so up himself,common use,
A0428,R_3nN0XXAmu6EnifM,Arrogant,up himself/herself,,She's so up herself,Casual conversation,
A0429,R_1EjwzgOT6vjTWah,Arrogant,full of himself,,he is full of himself,,
A0430,R_3nGJTUDGqHcktYZ,Arrogant,He's or She' up themsaelves,,as above,a few years ago,
A0432,R_0cg8dl31izw0eYh,Arrogant,Up him/herself,,,General conversation most of my (75 year) life,
A0435,R_3JKMstEn0yLifqU,Arrogant,Knob,,He's a bit of a knob,,
A0437,R_3iQ456fHSh6dHoS,Arrogant,"we would sya they are ""up themselves""",,So and so is up themselves,I hear and use it all the time in daily conversation (where relevant),Unsure if it's australian
A0438,R_2rNEF5Cm7O9r3hv,Arrogant,Up himself. Shit doesn't stink.,,He's up himself. Reckons his shit doesn't stink.,,
A0441,R_3EKdeR04ys9JSGA,Arrogant,up themselves,,they are really up themselves,describing an arrogant person,no
A0442,R_efyyipAhQ2BgssF,Arrogant,Full of himself,,He's full of himself,Commonly used,No
A0443,R_D5J3sx9OlOTJtF7,Arrogant,cocky,,that bloke is really cocky,at work,
A0444,R_2lzr31lzDby60Uh,Arrogant,Up themself or up yourself,,"NAME is really up themself, thinks they're better than us","General conversation, including directed at me - I use it too",no
A0447,R_1NqSRKbHkKNUC1f,Arrogant,Stuck up or tickets on yourself,,"That ken, he's real stuck up, got tickets on himself",When kens not around,
A0448,R_29gZp6WyKH4wXdo,Arrogant,up him/her self,,,,
A0451,R_1hYkvd6zvJZHB5Q,Arrogant,Up him(her) self; a bit above himself; inflated sense of self-importance; loves to flog his pedigree,,Add a pronoun or name as subject tonany of them,Recently. In conversation.,
A0452,R_2SdYBqXpPgnrTlP,Arrogant,She thinks her shit doesn't stink,,,,
A0453,R_6KyVoaZ7hMd3Xxf,Arrogant,Cocky,,,,
A0454,R_21ps7EXxpdi2DNy,Arrogant,prick,,Don't be such a prick.,Very common - can't say.,
A0455,R_01CikfOZ9nIzLWx,Arrogant,poofter,,Did you see that bloke? What a poofter!,Decades ago,"obviously, a derogatory word intended to bring someone down in other people's estimation"
A0456,R_W0bPNzjh75DAaGJ,Arrogant,Up him/herself,,,,
A0457,R_2E0K8WIYKat6Bhp,Arrogant,Up himself,,He's really up himself.,"In various informal settings, from time-to-time.",I've never heard it (or similar) used about a female.
A0458,R_20UljJ4LEpic45A,Arrogant,Up themselves,,He's up himself. Thinks he knows everything,Talking about a person who is showing arrogant behaviour,
A0459,R_pK53ySQQzPJUvPH,Arrogant,Up himself,,He's up himself,Often,No
A0461,R_RwYw0Yaf0qAXJtf,Arrogant,prick,,He's a real prick with regard with the way he treats others.,I use it when necessary.,
A0463,R_p6rjaGv4CL7mIi5,Arrogant,Twat,,What a twat. Thinks he can lord it over us.,Locally (Australia) and British television shows.,
A0465,R_1LtknZfJ3Hl47ia,Arrogant,dickhead,,he's a dickhead,in many situations,
A0466,R_3PuJdYINfNPHUnn,Arrogant,Wanker,,He's just a wanker.,,
A0467,R_tXoysZsywVGfQDD,Arrogant,up themselves,,He's just so up himself,Talking about politicians,
A0468,R_URwDwueWHqOUfhT,Arrogant,"Cocky, Bastard. Don't stand in the wind or those tickets u got on yourself might blow off.",,"boss cocky incoming. he's a bit of a bastard, Don't put your hand in the cage",life,no
A0469,R_PTfgXDQpZZPx30t,Arrogant,Wanker,,They're a bunch of wankers,,
A0470,R_2zAYzXz7IFM28aF,Arrogant,up themselves,,He is so up himself.,,
A0475,R_2bOUQeG3lKQeCiF,Arrogant,Douchebag.,,,,
A0476,R_T7rYICiLGPshyFz,Arrogant,Stuck up,,"Don't talk to Paul, he's stuck up himself",General conversation,
A0477,R_1dvruT2BYV3PE02,Arrogant,shit doesn't stink,,"""He walks around as if his shit doesn't stink""",usually at work,very Australian
A0478,R_2zYKsMRSVEwAb7E,Arrogant,Knowall,,Look at that Knowall,,
A0479,R_2fdj3NnsouueLwj,Arrogant,Up him/her self,,Since Sarah moved to Brighton I don't talk to her because she's so upset herself,With friends,
A0480,R_2dXPo9dK7qyY3qD,Arrogant,up himself,,He is so up himself,This is well known English slang,Well know English slang
A0481,R_WkYapgYJpAfj7nH,Arrogant,up themself (grammatical howler!) think they're it / it on a stick,,Commonly used.,"Everywhere, the second is less common I think",
A0482,R_8bSojXwhmmvNYbL,Arrogant,stuck-up,,That stuck-up bastard,"1950s - present Sydney, country NSW",more recently crowded out by 'posh' which isn't quite the same
A0483,R_3hb9wbNf9PpYMjE,Arrogant,Up himself,,Peter Dutton is up himself,Everyday conversation,No
A0484,R_Q3uVMmHkYQBrAZz,Arrogant,Lombard,,He's a Lombard,Probably 90s expression,Lots of money but a real dickhead
A0485,R_3PaHWoy5PLCBvCg,Arrogant,Up him/herself,,Joe is so far up himself it's surprising he hasn't turned inside out.,All over. By everyone except my Mum.,
A0486,R_1laCsIbn2m9tDfh,Arrogant,so far up himself,,he's so far up himself he can only see shit,when dealing with a person who is pulling rank on staff members and doesn't know what is happening,
A0487,R_BR0QcbPpN5te93j,Arrogant,up themselves,,She is really up herself,"All my life, fairly often.",It is really descriptive and everyone knows what it means
A0491,R_31LgyGVySp19XR3,Arrogant,someone who is up himself or herself,,,,
A0492,R_20URf7IAnPU1yGT,Arrogant,Struts like a peaco.,,,,
A0493,R_XENyg2nm1lgW3vj,Arrogant,Up themselves,,,,
A0494,R_3x8kscqVcrStdUl,Arrogant,Up himself,,He's really up himself,Everywhere,
A0495,R_2S7jhSJ0EVkTFOE,Arrogant,tosser / wanker,,,,
A0496,R_2cdxjIAuZuPEkWF,Arrogant,up themselves,,they are so up themselves,friends,
A0500,R_2OIowgphjyQup6U,Arrogant,Tosser,,,,
A0501,R_2SIuF6i7HwYqbYp,Arrogant,Prick,,Those politicians are absolute pricks,,
A0502,R_4H1yHx9zKGK6I9z,Arrogant,Cocky,,"You don't want him on your team, he's too cocky",All my life,no
A0503,R_rqLzxjK2vwL2t1v,Arrogant,Got tickets on himself,,"He's got tickets on himself, meaning he thinks highly of himself",Commonly,
A0504,R_1HoSOmzAioPWfRs,Arrogant,Wanker,,"They think they are better than everyone else, what a wanker!","Everywhere, school, workplace, social setting",
A0505,R_22VpUY2b2fiCzPf,Arrogant,To be up yourself; or to have tickets on yourself,,,,
A0506,R_2VqhNOb3hoHx2kV,Arrogant,Cocky,,She's a bit cocky about her new haircut,Everyday conversation,
A0508,R_Tq1IFWUTFgAWunT,Arrogant,Up them self,,That turkey (person) is up themselves,70s to niw,
A0509,R_2AKEuhrKUMreb5G,Arrogant,Up themselves,,He's got new bike so he's really up himself!,I've heard it frequently as he's got 'tickets on himself',No
A0510,R_25XZq7ONQynFiUN,Arrogant,up himself,,,,
A0513,R_12ElIMw6sTpodVj,Arrogant,up themselves,,,,
A0514,R_3G0rIj9We3pQLWt,Arrogant,Up himself,,He is far up himself he can see daylight,,
A0515,R_2t5VJzeUh1jJC5d,Arrogant,Up themselves,,She's up herself,In social conversation,
A0516,R_1N48VSV9F40QduM,Arrogant,Cocky bastard,,,,
A0517,R_2rBIjIlFojLViCF,Arrogant,Up themselves,,"Ever since old love won the beauty contest, she has been fair up herself.",Regularly heard.,"Also, got tickets on themselves."
A0518,R_2f7niCI0aewIIEc,Arrogant,Got dibs on himself,,In conversation: he's got...,"Ages ago, i think",Maybe redundant?
A0520,R_3oLo35G8mso5uCq,Arrogant,Full of himself,,"I can't stand him, he's so full of himself.",Casual speech,
A0521,R_2bTZpsSS3lZrNID,Arrogant,Upstart,,They are a bit of an upstart.,Heard it from time to time.,
A0523,R_WvBSiP6QRHPybhD,Arrogant,Up themselves,,Since they bought that place in Byron they've been a bit up themselves,Everywhere,
A0524,R_1jSTwsLTPn1dWCb,Arrogant,up himself,,he is up himself if he thinks....,in general conversation with friends,
A0526,R_1UlFCeKiyxIAB3z,Arrogant,Prick,,Brad is a real prick.,I use it often,There's an even better one that starts with a C & ends in a T.
A0527,R_3GD47GhvGj4gXz6,Arrogant,"He/She is up themselves, He/She don't think their shit stinks",,He/She don't think their shit stinks,Peer to peer conversations,
