participantID,responseID,prompt,slang,meaning,exampleUsage,whenWhereUsed,additionalNotes
A0233,R_1IKMnBGOe7ku3fS,Attractive Person,Hot,,,,
A0234,R_3FQi3H4rf0kMsdl,Attractive Person,Looker,,She / he's a looker or he / she can put his shoes under my bed,"Not in a long time, but normally when out socialising",
A0235,R_DhGYvgQPwsorWwx,Attractive Person,Spunk,,Oh my god he is such a spunk,In a social setting either mixed gender or not discussing the appearance of another person,Not really used today
A0237,R_3fBusx87a4FaxrT,Attractive Person,Bottler,,She was a real bottler,Probably in my younger days amongst older men,
A0238,R_2eR8OoadhlLALZV,Attractive Person,charlie wheeler,,She's a good looking charlie wheeler,Talking with mates,No
A0240,R_3p4Onl12It6Ofdg,Attractive Person,Bonzer looking shiela,,She is a bonzer looking shiela (good looking),50s to 70s in Melbourne area,
A0241,R_2X4D0GGKprf83MJ,Attractive Person,Good sort,,A looker,A keeper,
A0245,R_QccKEJNc35uXyrT,Attractive Person,Spunk,,He's a real spunk.,It was commonly used in the late 1970s - early 1980s. My mum still says it.,"Grossed me out when I learned the sperm origin. Nonetheless, it was used for males and females."
A0246,R_3DkjMNdqytglICQ,Attractive Person,A bit of a looker.,,Jeremy Fernandez is a bit of a looker.,,
A0247,R_514DnWSvJSImXXH,Attractive Person,A real 'looker'.,,John's girlfriend is a real looker.,Used by my ex-sister in law 40 years ago.,
A0250,R_3hi41t0ib4PNX7B,Attractive Person,Bit of all right,,He's a bit of all right!,Just generally,Probably more often used about women than men
A0252,R_3e5mzT6lAFI5ENR,Attractive Person,Spunk,,She was a real spunk when she was at school,Probably the 1970s,Slunk is also a slang term for sperm
A0254,R_77gMS9VuzpNoeSR,Attractive Person,"looker, alright",,He (She) is a bit of a looker / alright,sometime in the past,
A0255,R_3rzbjeUFK7OkiPL,Attractive Person,Spunk,,,,
A0257,R_2V7u7n6cY2kN3jp,Attractive Person,eyeful,,She's a real eyeful,random,it may be an american one
A0258,R_3gR5yfZKevQG1T7,Attractive Person,Spunk rat.,,He is such a spunk rat,All boys that me and my friends (when we were young teenagers) thought were cute or had crushes on were declared spunk rats,We had stopped using spunk rat to describe boys we liked (except ironically) by the time we were 15/16.
